# 4부 용어 — 낱말 | 한 줄 뜻 | 처음 설명하는 슬라이드 id
부트스트랩 | 컴파일러를 그 컴파일러의 언어로 빌드하려고 이미 있는 판을 먼저 쓰는 일 | p4-v15-bootstrap
동시 GC | 사용자 고루틴과 나란히 도는 쓰레기 수집기. 세상을 멈추는 시간을 줄인다 | p4-v15-gc
삼색 표시 | 객체를 흰·회·검 셋으로 칠해 도달 가능한 것을 찾는 표시 방식 | p4-v15-tricolor
GOGC | 힙이 살아 있는 객체의 몇 퍼센트만큼 더 자라면 수집할지 정하는 단 하나의 손잡이 | p4-v15-tricolor
GOMAXPROCS | 동시에 Go 코드를 돌리는 스레드(P)의 수 | p4-v15-gomaxprocs
internal 패키지 | 같은 서브트리 안에서만 가져올 수 있는 패키지 | p3-v14-internal
vendor 디렉터리 | 의존성 사본을 저장소 안에 두고 먼저 찾게 하는 디렉터리 | p4-v15-vendor
context | 취소 신호·시한·요청 범위 값을 API 경계 너머로 나르는 값 | p4-v17-context
SSA | 정적 단일 대입 형식. 1.7 부터 쓰는 컴파일러 백엔드의 중간 표현 | p4-v17-ssa
경계 검사 제거 | 인덱스가 범위 안임을 증명한 곳의 검사를 컴파일러가 빼는 최적화 | p4-v17-ssa
하위 테스트 | t.Run 으로 테스트 안에 만드는 이름 붙은 테스트 | p4-v17-subtests
타입 별칭 | type T1 = T2 — 같은 타입에 붙인 다른 이름 | p4-v19-alias
단조 시계 | 되돌아가지 않는 시계. 경과 시간을 잴 때 쓴다 | p4-v19-monotonic
빌드 캐시 | 빌드 결과를 내용의 해시로 찾아 다시 쓰는 저장소(GOCACHE) | p4-v110-buildcache
