# 6부 용어 — 낱말 | 한 줄 뜻 | 처음 설명하는 슬라이드 id
타입 매개변수(type parameter) | 함수·타입 선언의 대괄호 목록에 적는, 나중에 정해질 타입 | p6-v118-typeparam
인스턴스화(instantiation) | 타입 인자를 대입하고 제약 만족을 확인해 보통 함수·타입을 얻는 일 | p6-v118-typeparam
제약(constraint) | 타입 매개변수가 받을 수 있는 타입의 집합. Go 에서는 인터페이스 | p6-v118-constraint
타입 집합(type set) | 인터페이스를 메서드 목록이 아니라 그것을 만족하는 타입들의 집합으로 보는 관점 | p6-v118-constraint
밑바탕 타입(underlying type) | 정의된 타입이 기대는 원래 타입. ~T 는 밑바탕 타입이 T 인 모든 타입 | p6-v118-tilde
comparable | == 와 != 로 비교할 수 있는 모든 타입의 집합. 제약 전용 | p6-v118-anycomp
타입 추론(type inference) | 호출의 인자와 제약에서 타입 인자를 알아내 생략하게 하는 일 | p6-v118-inference
GC shape | 크기·포인터 위치 같은 성질로 묶은 타입의 모양. 모양마다 제네릭 코드 한 벌 | p6-v118-shape
퍼징(fuzzing) | 입력을 자동으로 바꿔 가며 함수를 두드려 버그를 찾는 시험 | p6-v118-fuzz
씨앗 말뭉치(seed corpus) | f.Add 와 testdata/fuzz 에 둔, 퍼즈 테스트가 늘 먼저 도는 입력 | p6-v118-fuzz
작업 공간(workspace) | go.work 에 적은 여러 모듈을 모두 주 모듈로 삼는 모드 | p6-v118-work
메모리 모델(memory model) | 한 고루틴의 쓰기를 다른 고루틴이 언제 읽을 수 있는지 정한 규칙 | p6-v119-memmodel
부드러운 메모리 상한(soft memory limit) | 넘으면 GC 를 더 돌리되 멈추지는 않는 런타임 메모리 상한(GOMEMLIMIT) | p6-v119-memlimit
PGO | 실행 프로파일을 컴파일러에 먹여 뜨거운 코드를 더 최적화하는 일 | p6-v120-pgo
