# 5부 용어 — 낱말 | 한 줄 뜻 | 처음 설명한 장
모듈(module) | 함께 버전이 매겨지는 패키지 묶음. 뿌리의 go.mod 가 경로와 요구를 적는다(1.11) | p5-v111-modules
go.mod | 모듈 경로·go 줄·require·replace 를 적는 파일 | p5-v111-modules
의미 있는 import 버전(semantic import versioning) | v2 이상의 주 버전을 import 경로에 넣는 규칙(my/thing/v2) | p5-v111-modwhy
replace 지시문 | 요구한 모듈을 다른 경로나 로컬 디렉터리의 것으로 바꿔 끼우는 go.mod 줄 | p5-v111-modcmds
의사 버전(pseudo-version) | 태그 없는 커밋을 가리키는 v0.0.0-날짜-해시 꼴의 버전 | p5-v112-replace
언어 버전(go 줄) | go.mod 의 go 지시문. 그 모듈의 파일이 쓰는 언어의 버전(1.12) | p5-v112-langver
모듈 미러(module mirror) | 모듈의 메타데이터와 소스를 캐시해 대신 내주는 프록시. proxy.golang.org | p5-v113-mirror
체크섬 데이터베이스(checksum database) | 모듈 버전마다의 해시를 모두가 같은 값으로 확인하게 하는 공개 기록. sum.golang.org | p5-v113-mirror
오류 감싸기(error wrapping) | 오류가 Unwrap 으로 다른 오류를 품는 것. %w 로 만들고 errors.Is·As 로 따라간다 | p5-v113-errwhy
센티널 오류(sentinel error) | 비교 대상으로 쓰려고 패키지 변수로 둔 오류 값. io.EOF 같은 것 | p5-v113-wrap
비동기 선점(asynchronous preemption) | 함수 호출이 없는 루프도 신호로 멈춰 세우는 선점(1.14) | p5-v114-preempt
//go:embed | 파일이나 파일 트리를 패키지 변수에 넣는 컴파일 지시문(1.16) | p5-v116-embed
fs.FS | 읽기 전용 파일 트리의 인터페이스. Open 하나가 필수(1.16) | p5-v116-iofs
모듈 그래프 가지치기(module graph pruning) | go 1.17 모듈의 그래프에 다른 모듈의 직접 의존만 담는 규칙 | p5-v117-prune
//go:build | 그리고(&&)·또는·아님(!) 식으로 쓰는 빌드 제약 줄. // +build 를 대신한다(1.17) | p5-v117-gobuild
