# 원하는 사진 목록 — 한 줄에 "검색어 <TAB> 저장 이름 <TAB> 슬라이드 id".
# 파일 이름을 기억으로 적지 않는다. 공용 검색 API 로 후보를 받아
# 자유 라이선스인 첫 장을 고른다(tools/fetch_photos.py).
# 못 구하면 그 자리는 SVG 로 그리거나 글로 대신한다 — 억지로 채우지 말 것.
James Clerk Maxwell portrait	maxwell.jpg	p1-maxwell
Heinrich Hertz physicist	hertz.jpg	p1-hertz
Guglielmo Marconi portrait	marconi.jpg	p1-marconi
Reginald Fessenden	fessenden.jpg	p1-fessenden
Edwin Howard Armstrong radio	armstrong.jpg	p1-armstrong
Hedy Lamarr actress portrait	lamarr.jpg	p1-lamarr
Claude Shannon mathematician	shannon.jpg	p1-shannon
Motorola DynaTAC 8000X	dynatac.jpg	p5-dynatac
Motorola MicroTAC	microtac.jpg	p5-microtac
Nokia 3310	nokia3310.jpg	p6-nokia3310
Nokia 1011	nokia1011.jpg	p6-nokia1011
SIM card subscriber identity module	simcard.jpg	p6-sim
GSM base station antenna	gsm_antenna.jpg	p6-antenna
Andrew Viterbi	viterbi.jpg	p7-viterbi
Iridium communication satellite spacecraft	iridium.jpg	p12-iridium
Starlink satellite	starlink.jpg	p12-starlink
GPS Block IIF satellite	gps.jpg	p12-gps
Telstar satellite	telstar.jpg	p1-telstar
5G antenna array panel base station	massive_mimo.jpg	p11-massive
Mobile phone cell tower antennas	celltower.jpg	p4-tower
IPhone 2007 original	iphone2007.jpg	p10-iphone
Communications tower microwave relay	microwave.jpg	p1-microwave
