# 6부 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
채널(RC) | 조종기의 스틱·스위치 하나가 보내는 값 하나 — 롤·피치·요·추력에 넷 이상 | p6-rc-what
묶기 | 송신기와 수신기가 서로하고만 말하도록 짝을 맺는 절차(bind) | p6-rc-what
FHSS | 주파수 도약 확산 스펙트럼 — 약속한 순서로 채널을 옮겨 다니며 보내기 | p6-fhss
묶음 문구 | ExpressLRS 에서 도약 순서의 씨앗이 되는 글 — 비밀번호가 아니다 | p6-fhss
감도 | 수신기가 알아들을 수 있는 가장 약한 신호의 세기(dBm) | p6-elrs-rates
자유 공간 손실 | 가림·반사 없는 빈 공간에서 거리와 주파수로 정해지는 손실 20·log10(4πdf/c) | p6-budget-model
RSSI | 받은 신호의 세기(dBm) | p6-lq
LQ | 링크 품질 — 보낸 패킷 가운데 알아들은 비율(%) | p6-lq
CRSF | TBS 의 RC·텔레메트리 직렬 규약 — 틀마다 CRC8(0xD5) | p6-crsf-frame
텔레메트리 | 기체가 땅(지상국·조종기)으로 보내는 상태 정보 | p6-telem-what
SiK | 텔레메트리 무선용 오픈소스 펌웨어 — MAVLink 를 투명하게 나른다 | p6-sik
하트비트 | "나 여기 있다" 를 정기적으로 알리는 MAVLink 메시지(HEARTBEAT) | p6-heartbeat-svc
MAVLink | 드론과 지상국이 쓰는 이진 메시지 규약(판 1·2) | p6-mav-what
페이로드 | 패킷에서 머리·체크섬을 뺀 메시지 내용 | p6-mav-what
sysid·compid | MAVLink 패킷을 보낸 시스템(기체)과 그 안의 구성 요소 번호 | p6-mav-seq
CRC | 메시지 다항식을 생성 다항식으로 나눈 나머지로 오류를 찾는 체크섬 | p6-crc-idea
CRC_EXTRA | 메시지 정의에서 만든 한 바이트 — 체크섬에 섞어 정의가 같은지 본다 | p6-mav-extra
생성 다항식 | CRC 가 나누는 다항식 G — MAVLink 는 x¹⁶+x¹²+x⁵+1 | p6-crc-poly
신드롬 | 오류 패턴이 체크섬 비교에 남기는 값 — 0 이면 못 잡는다 | p6-crc-weights
메시지 서명 | 비밀 키로 만든 SHA-256 앞 48비트를 붙여 보낸 이를 확인하는 MAVLink 2 기능 | p6-mav-signing
비행 컨트롤러 | 센서를 읽고 제어 펌웨어를 돌려 모터 명령을 내는 보드(오토파일럿) | p6-fc-what
uORB | PX4 모듈끼리 발행·구독으로 메시지를 주고받는 버스 | p6-px4-arch
AP_HAL | ArduPilot 이 보드마다 다른 하드웨어를 가리는 추상 층 | p6-ap-arch
지상국 | 기체를 설정하고 계획을 올리고 상태를 보는 땅의 프로그램(GCS) | p6-gcs-what
OSD | 영상 위에 비행 정보를 글자로 겹쳐 보여 주는 것 | p6-vid-osd
페일세이프 | 링크·배터리·위치 등을 잃었을 때 미리 정한 행동을 하는 장치 | p6-fs-list
RTL | 발진 지점으로 돌아오기(Return To Launch) — 오르고, 돌아오고, 내린다 | p6-rtl
지오펜스 | 기체가 벗어나면 행동을 하는 가상의 경계 — 원기둥·다각형 | p6-fence-kinds
원격 ID | 비행 중인 드론이 ID·위치를 방송하게 하는 규정과 장치 | p6-rid-what
ULog | PX4 의 자기 설명형 이진 로그 형식 | p6-ulog-format
