# 5부 낱말 | 한 줄 뜻 | 처음 나온 슬라이드 id
IMU | 관성 측정 장치 — 세 축 자이로와 세 축 가속도계를 한데 묶은 센서 | p5-imu
MEMS | 반도체 공정으로 만든 아주 작은 기계 구조(micro-electro-mechanical systems) | p5-imu
검증 질량 | 가속도계 안에서 용수철에 매달려 가속도만큼 밀려나는 작은 질량(proof mass) | p5-imu
비력 | 질량당 중력이 아닌 힘 — 가속도계가 재는 양, 가속도 − 중력 가속도(L20) | p5-proofmass
무작위 걸음 | 독립 잡음을 더해 가며 생긴 오차 — 떨림이 √t 로 커진다 | p5-drift-idea
하드 아이언 | 자력계 값을 한쪽으로 옮기는 자기 간섭 — 구의 중심이 옮겨진다 | p5-iron
소프트 아이언 | 자력계 값을 축마다 늘이거나 줄이는 자기 간섭 — 구가 찌그러진다 | p5-iron
CompassMot | 전류에 비례하는 나침반 간섭을 재서 빼는 ArduPilot 의 보정 | p5-compassmot
정수압 | 공기 기둥의 무게로 생기는 압력 차 dp = −ρg dh | p5-baro
의사거리 | 수신기 시계 오차가 더해진 위성까지의 거리 | p5-pseudorange
PDOP | 위치 정밀도 저하율 — 의사거리 잡음이 위치 오차로 몇 배 번지나(이 덱의 정의) | p5-dop
RTK | 반송파 위상과 기준국 보정으로 센티미터 급 위치를 얻는 GNSS 방식 | p5-rtk
정수 모호성 해결 | 위성과 수신기 사이 반송파 파장의 개수를 푸는 일(IAR) | p5-rtk
survey-in | RTK 기준국이 여러 번 재어 자기 위치를 정하는 과정 | p5-rtk-ops
UWB | 초광대역 무선 — 실내 기준점까지 거리를 재는 비컨에 쓰인다 | p5-uwb
광류 | 카메라가 본 바닥 그림이 흐르는 각속도(optical flow) | p5-flow
ToF | 비행시간 — 쏜 빛이나 전파가 돌아오는 시간으로 거리를 잰다 | p5-tof
VIO | 시각-관성 주행 거리계 — 카메라와 IMU 로 상대 위치를 추정 | p5-vio
짐벌 락 | 피치 ±90° 에서 롤과 요가 한 회전이 되어 자유도 하나를 잃는 일(L18, T5) | p5-l18
쿼터니언 | 스칼라 하나와 벡터 하나로 회전을 적는 네 수 (cos(α/2), sin(α/2)n) | p5-quat
상보 필터 | 자이로 적분과 가속도계 값을 α : (1−α) 로 섞는 추정기(T23) | p5-comp-idea
칼만 이득 | 예측과 측정을 섞는 가장 좋은 비율 K = P/(P+R)(T24) | p5-t24
혁신 | 측정과 예측의 차이 y = z − Hx̂⁻ | p5-t25
NIS | 정규화한 혁신 제곱 y²/S — 조율이 맞으면 평균 1 | p5-track
EKF | 확장 칼만 필터 — 휘어진 식을 매 걸음 1차로 펴서 쓴다 | p5-ekf
수평 보정 | 비행 컨트롤러 방향의 작은 어긋남을 호버 자세에서 맞추는 보정 | p5-level
완구 드론 | 값싼 장난감 쿼드콥터 — 6축 센서만으로 기울기를 스스로 잡는다 | p5-toy-parts
6축 IMU | 자이로 셋과 가속도계 셋을 한 칩에 담은 관성 센서(자력계 없음) | p5-toy-parts
중력 벡터 추정 | 몸체에서 본 '위' 벡터 하나로 자세를 드는 완구 펌웨어의 방식 | p5-toy-rotate
헤드리스 모드 | 기체의 방향과 상관없이 처음 켠 쪽을 스틱의 앞으로 삼는 기능 | p5-toy-headless
